artist,link,track
Carl Douglas,http://web.tiscali.it/krokozahn72/0044%20-%20Carl%20Douglas%20-%20Kung%20Fu%20fighting.jpg,Kung Fu fighting
Gottlieb Wendehals,http://web.tiscali.it/krokozahn73/0045%20-%20Gottlieb%20Wendehals%20-%20Polonaese%20Blankenese.jpg,Polon?se Blankenese
Roland Kaiser,http://web.tiscali.it/krokozahn74/0046%20-%20Roland%20Kaiser%20-%20Santa%20Maria.jpg,Santa Maria
Pink Floyd,http://web.tiscali.it/krokozahn75/0047%20-%20Pink%20Floyd%20-%20Another%20Brick%20In%20The%20Wall.jpg,Another Brick In The Wall
Gilbert O'Sullivan,http://web.tiscali.it/krokozahn76/0048%20-%20Gilbert%20O%27Sullivan%20-%20Get%20Down.jpg,Get Down
Udo Jürgens,http://web.tiscali.it/krokozahn77/0049%20-%20Udo%20Juergens%20-%20Griechischer%20Wein.jpg,Griechischer Wein
Smokie,http://web.tiscali.it/krokozahn81/0050%20-%20Smokie%20-%20Living%20Next%20Door%20To%20Alice.jpg,Living Next Door To Alice
Terry Jacks,http://web.tiscali.it/krokozahn82/0051%20-%20Terry%20Jacks%20-%20Seasons%20In%20The%20Sun.jpg,Seasons In The Sun
Rednex,http://web.tiscali.it/krokozahn83/0052%20-%20Rednex%20-%20The%20spirit%20of%20the%20hawk.jpg,The spirit of the hawk
Boney M.,http://web.tiscali.it/krokozahn84/0053%20-%20Boney%20M.%20-%20El%20Lute.jpg,El Lute
Vicky Leandros,http://web.tiscali.it/krokozahn85/0054%20-%20Vicky%20Leandros%20-%20Ich%20hab%20die%20Liebe%20geseh%27n.jpg,Ich hab die Liebe geseh'n
Culture Beat,http://web.tiscali.it/krokozahn86/0055%20-%20Culture%20Beat%20-%20Mr.%20Vain.jpg,Mr. Vain
Enigma,http://web.tiscali.it/krokozahn87/0056%20-%20Enigma%20-%20Sadeness.jpg,Sadeness
